race_date,place_code,race_no,car_no,player_code,player_name,prefecture,kyaku,yosoin,itioshi_flag,aisyo_flag,assen,syumoku,den_time,st_time,line_type,narabi_flg,ozz_flg,result_flg
2026-03-26,44,5,7,015712,松本 京太,静 岡,逃,,0,0,,A級準決勝,12:48,12:51,,0,1,1
2026-03-26,44,6,1,014817,佐藤 壮,千 葉,追,,0,0,(追加),S級一般,13:15,13:18,,0,1,1
2026-03-26,44,6,2,015648,森本 桂太郎,愛 媛,逃,,0,0,(追加),S級一般,13:15,13:18,,0,1,1
2026-03-26,44,6,3,014786,本郷 雄三,熊 本,両,,0,0,,S級一般,13:15,13:18,,0,1,1
2026-03-26,44,6,4,012895,小嶋 敬二,石 川,両,,0,0,,S級一般,13:15,13:18,,0,1,1
2026-03-26,44,6,5,015176,望月 一成,静 岡,逃,,0,0,,S級一般,13:15,13:18,,0,1,1
2026-03-26,44,6,6,013295,佐々木 則幸,高 知,追,,0,0,,S級一般,13:15,13:18,,0,1,1
2026-03-26,44,7,1,015276,佐伯 亮輔,岡 山,逃,,0,0,(追加),S級一般,13:42,13:45,,0,1,1
2026-03-26,44,7,2,014232,柴田 洋輔,東 京,追,,0,0,,S級一般,13:42,13:45,,0,1,1
2026-03-26,44,7,3,015539,上杉 嘉槻,福 井,逃,,0,0,,S級一般,13:42,13:45,,0,1,1
2026-03-26,44,7,4,015236,藤根 俊貴,岩 手,逃,,0,0,,S級一般,13:42,13:45,,0,1,1
2026-03-26,44,7,5,013824,上吹越 直樹,鹿児島,両,,0,0,,S級一般,13:42,13:45,,0,1,1
2026-03-26,44,7,6,013618,櫻井 学,群 馬,両,,0,0,,S級一般,13:42,13:45,,0,1,1
2026-03-26,44,7,7,015005,野口 正則,奈 良,両,,0,0,,S級一般,13:42,13:45,,0,1,1
2026-03-26,44,8,1,013199,北野 武史,石 川,追,,0,0,,S級選抜,14:09,14:12,,0,1,1
2026-03-26,44,8,2,015552,上野 雅彦,香 川,逃,,0,0,,S級選抜,14:09,14:12,,0,1,1
2026-03-26,44,8,3,013242,尾崎 剛,埼 玉,追,,0,0,,S級選抜,14:09,14:12,,0,1,1
2026-03-26,44,8,4,015375,村上 竜馬,広 島,逃,,0,0,,S級選抜,14:09,14:12,,0,1,1
2026-03-26,44,8,5,013912,金成 和幸,福 島,追,,0,0,,S級選抜,14:09,14:12,,0,1,1
2026-03-26,44,8,6,015536,疋田 力也,愛 知,両,,0,0,,S級選抜,14:09,14:12,,0,1,1
2026-03-26,44,8,7,015604,安彦 統賀,埼 玉,両,,0,0,,S級選抜,14:09,14:12,,0,1,1
2026-03-26,44,9,1,015041,伊藤 慶太郎,埼 玉,逃,,0,0,,S級選抜,14:38,14:41,,0,1,1
2026-03-26,44,9,2,014881,山崎 泰己,岡 山,追,,0,0,,S級選抜,14:38,14:41,,0,1,1
2026-03-26,44,9,3,014946,元砂 勇雪,奈 良,追,,0,0,,S級選抜,14:38,14:41,,0,1,1
2026-03-26,44,9,4,013410,伊勢崎 彰大,千 葉,追,,0,0,,S級選抜,14:38,14:41,,0,1,1
2026-03-26,44,9,5,015541,石塚 慶一郎,和歌山,両,,0,0,,S級選抜,14:38,14:41,,0,1,1
2026-03-26,44,9,6,015572,田村 大,宮 崎,逃,,0,0,,S級選抜,14:38,14:41,,0,1,1
2026-03-26,44,9,7,012813,成清 貴之,千 葉,追,,0,0,,S級選抜,14:38,14:41,,0,1,1
2026-03-26,44,10,1,014939,長尾 拳太,岐 阜,両,,0,0,,S級準決勝,15:08,15:11,,0,1,1
2026-03-26,44,10,2,014804,横山 尚則,茨 城,追,,0,0,,S級準決勝,15:08,15:11,,0,1,1
2026-03-26,44,10,3,014177,小堺 浩二,石 川,両,,0,0,(追加),S級準決勝,15:08,15:11,,0,1,1
2026-03-26,44,10,4,015342,福田 滉,栃 木,追,,0,0,,S級準決勝,15:08,15:11,,0,1,1
2026-03-26,44,10,5,015778,小堀 敢太,北海道,逃,,0,0,,S級準決勝,15:08,15:11,,0,1,1
